label,coord_0,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9,coord_10,coord_11,coord_12,coord_13,coord_14,coord_15,coord_16,coord_17,coord_18,coord_19,coord_20,coord_21,coord_22,coord_23,coord_24,coord_25,coord_26,coord_27,coord_28,coord_29,coord_30,coord_31,coord_32,coord_33,coord_34,coord_35,coord_36,coord_37,coord_38,coord_39,coord_40,coord_41
open_palm,0.0,0.0,-0.15156972276808114,-0.1281743279065189,-0.26036493217716444,-0.27714539727686716,-0.32668040277410115,-0.4393650045289651,-0.38715298240777773,-0.5811614374778463,-0.20565559211790466,-0.5565628987265868,-0.2485252148172194,-0.7352207492082631,-0.2764334727339985,-0.832914358440267,-0.30306881128567864,-0.9363104489096454,-0.10959902288571186,-0.5897088258676795,-0.13344720690918904,-0.7831889195686287,-0.14965680127321992,-0.8918800024990355,-0.17645509239668453,-1.0,-0.018539665854909522,-0.5730243288833755,-0.031913584898611944,-0.7580660986298887,-0.05204327281760025,-0.8606182278875615,-0.08343450777266592,-0.951418878924951,0.07764636372087491,-0.5165688843889075,0.08324815357990054,-0.6691678490926075,0.0751058923349386,-0.7658757992243973,0.054508816077643574,-0.8561620439877479
open_palm,0.0,0.0,-0.14075184370475308,-0.12081353118787785,-0.24141155306741924,-0.2617876702765161,-0.301937177802788,-0.41692784489252194,-0.3529781309461702,-0.5611996054205526,-0.1974458034189071,-0.5520649308159598,-0.2369582423982073,-0.7270545820507479,-0.2598478808628351,-0.8231851000812478,-0.2782443147595704,-0.9280054963099172,-0.09644020984190706,-0.5848079509773902,-0.119382491801701,-0.7743652500288408,-0.1296058174352377,-0.8848814256681046,-0.1465257658034847,-1.0,-0.005486439261847717,-0.5642882979885044,-0.016188080402245657,-0.7417402664542282,-0.028336183827794903,-0.848117758563359,-0.04689116512598761,-0.9493326922891058,0.08936089357397717,-0.5017344592186677,0.09548234499626664,-0.6482992963662211,0.09630695599476773,-0.7432519161923783,0.08923997804601741,-0.8392195684097079
open_palm,0.0,0.0,-0.1522873877829768,-0.08872581015808831,-0.2758929621410161,-0.22080749864870258,-0.3539352693478277,-0.35948783400781326,-0.42417943071809183,-0.4922800729754544,-0.24127860246178875,-0.5395503443246048,-0.30799007861799765,-0.7075719046658331,-0.35834141594390684,-0.7971593085241243,-0.4072979769918016,-0.8926184097953688,-0.14744364739175325,-0.5885824269840876,-0.1953554208873358,-0.7810829151773625,-0.23068205725185487,-0.8908898279941352,-0.2752665643169016,-1.0,-0.054269830087162726,-0.5853021997287695,-0.08701513776760274,-0.766206452350718,-0.12085680347226792,-0.8702303517041452,-0.16651673828632832,-0.966714820684722,0.041471290459354805,-0.540978350111718,0.03255822985973479,-0.6932650905665955,0.01647924720057569,-0.7903714260745917,-0.010681129414912498,-0.8841481216156878
open_palm,0.0,0.0,-0.14374935711802084,-0.1095504548501751,-0.25134776460075686,-0.24361677355598452,-0.3166673082339588,-0.38997678367802324,-0.3680486446838367,-0.5311245328390951,-0.20732825506527894,-0.5379844648161342,-0.25447398528770504,-0.7147061737494644,-0.28483379094961003,-0.8132616376625663,-0.31073333665686226,-0.9171301201539845,-0.11192614698033207,-0.5768161139827382,-0.1398736596239406,-0.770294929535928,-0.15539517074419493,-0.884928069789059,-0.17819920685454702,-1.0,-0.020503859605724296,-0.5639374394060728,-0.03666651731821506,-0.7436175097807459,-0.05265395353748636,-0.8519986293598442,-0.0788210643580341,-0.9557836029283234,0.07449395591023358,-0.5110342211993606,0.0802514438945196,-0.6574119007156736,0.07879350851696357,-0.7525523334854163,0.06773730574972607,-0.8478606255007644
open_palm,0.0,0.0,-0.12683208636355708,-0.10838347372643402,-0.21879741537173653,-0.25539706831301556,-0.2593298191457821,-0.4129944278763146,-0.29795078393414604,-0.5485064702907271,-0.19148049320706675,-0.5438327316486161,-0.2287021050245034,-0.7218699314602627,-0.23235494166274265,-0.8231720556689165,-0.22328389054570189,-0.9261017806379602,-0.0918574181621584,-0.575916697186906,-0.1020631681752385,-0.771404715812972,-0.0937444409564171,-0.8851176773225902,-0.08543617781963411,-1.0,-0.0016515809483946353,-0.5542957236784737,0.0034590331188196514,-0.7347398803606621,0.010704319921868188,-0.8371989396396867,0.017587287884337013,-0.933017448856799,0.09006413610282704,-0.49517693018713266,0.10857400722021661,-0.6373722509984479,0.12808821221158373,-0.7272613317288408,0.14620415424056923,-0.8211176075620433
open_palm,0.0,0.0,-0.15283548527829297,-0.10265905160394057,-0.27397257375663875,-0.23802572009016545,-0.3437367632428928,-0.3915065138068501,-0.4065235816861042,-0.5256303817136938,-0.25429235899799046,-0.5091168329869825,-0.31326402932281544,-0.6858962234011267,-0.3441495490669263,-0.7910736705270922,-0.37145455907238073,-0.9007422528077265,-0.16047297511732977,-0.5620266239451323,-0.19882397297575205,-0.7602228493350784,-0.2155895093582418,-0.8803227896281797,-0.23628444518919386,-1.0,-0.06728218512862373,-0.5610394078226616,-0.09282814780398364,-0.744487055959032,-0.11096470014738422,-0.8553370816232659,-0.1340047503164127,-0.9595571449185029,0.03280938519666674,-0.524081853038091,0.030676058972305055,-0.6697999036057296,0.027041597216668337,-0.7645117173202054,0.01635613578305111,-0.8593284729971213
open_palm,0.0,0.0,-0.16921176756625333,-0.08334181592241402,-0.307032120377124,-0.21830553529459437,-0.3820973066428938,-0.3741312369992166,-0.4553620228543642,-0.4924146203095875,-0.27236826323040764,-0.513272928654402,-0.34515817057027853,-0.6783793392225194,-0.3892192235999676,-0.7785806521328038,-0.4308282140638085,-0.8792636896561039,-0.18375362671205123,-0.5743160169651782,-0.23049150390361187,-0.7769105005808142,-0.2625224086230651,-0.8930229894372855,-0.3019071237539509,-1.0,-0.08831834022206013,-0.5797089985682254,-0.12197595699273307,-0.7711730286084771,-0.15609066104762676,-0.8779551017100251,-0.1978386146905476,-0.9696346003187725,0.018762406461895885,-0.5429712834643542,0.012534349082853825,-0.7045720614852635,-0.004034254531701651,-0.8044267228570656,-0.031175297836129347,-0.8943070481130292
open_palm,0.0,0.0,-0.17222877295180988,-0.09266600475202415,-0.3152093478533828,-0.2186226930956284,-0.40148358868761436,-0.3697666871405879,-0.4743743274119656,-0.49626506153461497,-0.28468866966770673,-0.5069090171224945,-0.3640485247272451,-0.676550976229142,-0.4093205061258513,-0.7735888169002542,-0.4488425514552444,-0.8753160109204959,-0.19499273478923876,-0.5674866972468018,-0.24849781824548503,-0.7699394481770577,-0.2808874447823165,-0.8858892975151467,-0.3185422947898436,-1.0,-0.1025688672078122,-0.5782768116516844,-0.14115501402532996,-0.7683380559211961,-0.17499505317047398,-0.8754437629299605,-0.21452038542978472,-0.9721943259262733,-0.0017024105686629799,-0.550407371137556,-0.01532739246315735,-0.7067889784419031,-0.030900209026829894,-0.8042830449855802,-0.05442586209050058,-0.8975838654690262
open_palm,0.0,0.0,-0.14740398701135443,-0.11645098588755569,-0.2599156761396071,-0.2459249398461299,-0.3083546234621466,-0.4014372495168002,-0.35373339333103254,-0.5491859355229686,-0.22846826252966107,-0.535542003899289,-0.2814186185045454,-0.7083777016599667,-0.2950861336880413,-0.8094663145697337,-0.29940992669934813,-0.9139932841602073,-0.13104078671386468,-0.5763072398791258,-0.15708166923594108,-0.7679175569285024,-0.15905889804553353,-0.8826764223992439,-0.16133197419032058,-1.0,-0.03896804238134153,-0.5651237894737728,-0.048751429490104484,-0.7431704011163447,-0.05334811797928479,-0.8458525888536937,-0.05708632277765483,-0.9376587547332942,0.059356029842468135,-0.5164831184878053,0.06745277128937428,-0.6596035308800395,0.0771719353111377,-0.7518226196239223,0.08524172411825387,-0.8435523495016183
open_palm,0.0,0.0,-0.14306233353727957,-0.10540782032409697,-0.25752863842047863,-0.24742541981371935,-0.3111835218888441,-0.4056223329308271,-0.3564041279463066,-0.5465507118933904,-0.2238703276977808,-0.5204600899424847,-0.2727346357564766,-0.6938987092736755,-0.2936724067524491,-0.7971638971672087,-0.307422718706405,-0.9047284140330704,-0.1281741252671433,-0.5641741404284547,-0.15422624546681776,-0.75928425842934,-0.16259469086784345,-0.8795098667220985,-0.1708568075983705,-1.0,-0.03491211127444986,-0.5547487920324915,-0.04677384250868633,-0.7379607717027689,-0.053848389679216575,-0.8460680036682394,-0.0645632475050167,-0.9496752187767256,0.06233573167989923,-0.509684387380283,0.07295882367374933,-0.6552996064642246,0.0797784214242097,-0.7474047725015306,0.08119700149159376,-0.8419878154924264
